,material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap,A_ions,B_ions,C_ions,Tolerance_factor,Octahedral_factor
11191,mp-27307,Na2ZrF6,36,Monoclinic,-3.635070793,468.1841395,3.563703637,6.2566,Na,Zr,F,0.938209973086541,0.5413533834586466
11234,mp-18494,Nd2MoO6,36,Tetragonal,-3.105778841,526.966586,6.055464341,2.6647,Nd,Mo,O,0.9487312089286845,0.42142857142857143
11236,mp-1078455,Nd2SO6,9,Tetragonal,-3.065552505,126.2609996,5.478254664,5.1449,Nd,S,O,1.117145032998865,0.20714285714285713
11237,mp-31318,Nd2TeO6,36,Orthorhombic,-2.947875512,518.4622661,6.560396504,2.9846,Nd,Te,O,0.9632526049837152,0.4000000000000001
11238,mp-18057,Nd2WO6,36,Orthorhombic,-3.237745801,512.7855617,7.361503889,3.7285,Nd,W,O,0.9439875528840409,0.4285714285714286
11239,mp-18479,Nd2WO6,36,Monoclinic,-3.182906401,545.2581523,6.923093016,3.1691,Nd,W,O,0.9439875528840409,0.4285714285714286
11254,mp-17591,Sm2MoO6,36,Monoclinic,-3.143166101,486.6104279,6.72468284,2.2312,Sm,Mo,O,0.9380713077047665,0.42142857142857143
11255,mp-755374,Sm2TeO6,18,Tetragonal,-2.877634568,267.3236759,6.513810366,2.6828,Sm,Te,O,0.9524295420063701,0.4000000000000001
11256,mp-772900,Sm2TeO6,36,Orthorhombic,-2.976674184,501.2095584,6.948373996,3.1843,Sm,Te,O,0.9524295420063701,0.4000000000000001
11257,mp-778052,Sm2TeO6,27,Trigonal,-2.948741376,387.7550605,6.736065786,3.028,Sm,Te,O,0.9524295420063701,0.4000000000000001
11258,mp-770406,Sm2WO6,36,Orthorhombic,-3.264933481,495.9444542,7.775359312,3.7657,Sm,W,O,0.9333809511662425,0.4285714285714286
11259,mp-770766,Sm2WO6,36,Monoclinic,-3.23089553,499.2150938,7.724418548,2.9672,Sm,W,O,0.9333809511662425,0.4285714285714286
11260,mp-771966,Sm2WO6,36,Monoclinic,-3.266997426,475.5141275,8.109425372,3.6037,Sm,W,O,0.9333809511662425,0.4285714285714286
11302,mp-1101358,Sr2CaI6,18,Monoclinic,-1.908381283,757.7783422,4.280731822,3.6524,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11303,mp-1101374,Sr2CaI6,18,Monoclinic,-1.84306661,763.8003301,4.24698149,3.2383,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11304,mp-754710,Sr2CaI6,9,Trigonal,-1.899200456,413.7058288,3.920473967,3.6671,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11305,mp-756131,Sr2CaI6,18,Tetragonal,-1.912153243,858.5308148,3.778368589,3.321,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11306,mp-756238,Sr2CaI6,27,Trigonal,-1.917714192,1249.189936,3.895139286,3.9626,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11307,mp-756500,Sr2CaI6,18,Monoclinic,-1.877707103,835.7927823,3.881160417,3.953,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11308,mp-756798,Sr2CaI6,36,Orthorhombic,-1.915023139,1675.064464,3.873099731,4.0149,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11309,mp-768570,Sr2CaI6,18,Orthorhombic,-1.850722338,779.8196796,4.159738396,3.4642,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11310,mp-768734,Sr2CaI6,36,Monoclinic,-1.873396008,1611.788221,4.025151471,3.7619,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11311,mp-771570,Sr2CaI6,36,Tetragonal,-1.857873851,1555.894844,4.169749487,3.6241,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11312,mp-771642,Sr2CaI6,36,Monoclinic,-1.892131186,1615.669086,4.015482985,3.8022,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11313,mp-771643,Sr2CaI6,36,Monoclinic,-1.845626801,1470.51124,4.411861365,3.3625,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11314,mp-771645,Sr2CaI6,36,Orthorhombic,-1.91301899,1670.213234,3.884349371,3.9441,Sr,Ca,I,0.8043339635996977,0.45454545454545453
11315,mp-540812,Sr2CuF6,36,Tetragonal,-3.385327577,560.3895703,4.181369939,0.0232,Sr,Cu,F,0.9508183416925906,0.5488721804511277
11316,mp-557552,Sr2CuF6,18,Orthorhombic,-3.422837179,268.2083639,4.368238316,1.0895,Sr,Cu,F,0.9508183416925906,0.5488721804511277
11471,mp-560878,Rb2CoF6,9,Cubic,-2.481685928,147.8957437,3.860771407,1.179,Rb,Co,F,1.159503055171489,0.39849624060150374
11472,mp-2041196,Rb2CrF6,9,Tetragonal,-2.964953195,151.8510831,3.684348705,1.8781,Rb,Cr,F,1.147167916286686,0.4135338345864662
11473,mp-560562,Rb2CrF6,9,Cubic,-2.958415418,166.3636931,3.362947354,0.0,Rb,Cr,F,1.147167916286686,0.4135338345864662
11475,mp-13954,Rb2GeF6,18,Hexagonal,-3.046263906,288.2489072,4.119719651,5.8839,Rb,Ge,F,1.159503055171489,0.39849624060150374
11476,mp-7949,Rb2GeF6,9,Trigonal,-3.048175579,139.261919,4.263565718,5.807,Rb,Ge,F,1.159503055171489,0.39849624060150374
11477,mp-8812,Rb2GeF6,9,Cubic,-3.043178331,150.4457061,3.946622068,5.9753,Rb,Ge,F,1.159503055171489,0.39849624060150374
11479,mp-13947,Rb2HfF6,9,Trigonal,-3.752587202,152.1491419,5.057671667,7.1298,Rb,Hf,F,1.0571939620681223,0.5338345864661653
11480,mp-554337,Rb2IrF6,9,Trigonal,-2.479511633,145.8020166,5.434181516,0.0,Rb,Ir,F,1.1031589169406495,0.4699248120300752
11481,mp-571648,Rb2MnCl6,9,Cubic,-1.839553695,241.7560223,3.01253534,1.2037,Rb,Mn,Cl,1.0667038194822704,0.2928176795580111
11482,mp-558111,Rb2MnF6,9,Cubic,-2.900703897,149.0653115,3.785975089,3.3045,Rb,Mn,F,1.159503055171489,0.39849624060150374
11483,mp-558133,Rb2MnF6,18,Hexagonal,-2.902140161,287.0311674,3.932378223,3.2312,Rb,Mn,F,1.159503055171489,0.39849624060150374
11484,mp-1205757,Rb2MoBr6,9,Cubic,-1.483272752,293.1155661,4.22788751,0.0,Rb,Mo,Br,0.9969934692591934,0.3316326530612245
11485,mp-570558,Rb2NbCl6,9,Tetragonal,-2.021572967,260.8750411,3.033431106,0.0,Rb,Nb,Cl,1.0024445532483985,0.37569060773480667
11486,mp-571513,Rb2NbCl6,9,Cubic,-2.008327182,256.5304284,3.084805453,0.0,Rb,Nb,Cl,1.0024445532483985,0.37569060773480667
11487,mp-8994,Rb2NbF6,9,Trigonal,-3.235412826,150.798096,4.16056619,0.2283,Rb,Nb,F,1.072972976427348,0.5112781954887218
11488,mp-556417,Rb2NiF6,9,Cubic,-2.389794804,146.0245093,3.907518488,2.4216,Rb,Ni,F,1.191533526308823,0.3609022556390977
11489,mp-23475,Rb2PbCl6,9,Cubic,-1.706264286,271.3876904,3.615254192,1.2605,Rb,Pb,Cl,0.9656042311754403,0.4281767955801105
11490,mp-28084,Rb2PdBr6,9,Cubic,-1.339372844,287.8257554,4.366051567,0.5479,Rb,Pd,Br,1.010544836802522,0.3137755102040816
11491,mp-28145,Rb2PdCl6,9,Cubic,-1.575052817,245.2053357,3.318795473,1.2868,Rb,Pd,Cl,1.029314201067428,0.33977900552486184
11492,mp-14088,Rb2PdF6,9,Cubic,-2.401405657,152.8630793,4.25115964,2.2306,Rb,Pd,F,1.1088306851511414,0.46240601503759393
11493,mp-29936,Rb2PdI6,36,Orthorhombic,-1.015393154,1468.457417,4.698641636,1.1397,Rb,Pd,I,0.9846744519542684,0.27954545454545454
11494,mp-628606,Rb2PdI6,9,Cubic,-1.005111946,375.2814962,4.596386466,0.0,Rb,Pd,I,0.9846744519542684,0.27954545454545454
11495,mp-23350,Rb2PtCl6,9,Cubic,-1.635688618,248.1028407,3.873459858,1.9459,Rb,Pt,Cl,1.0250870380240298,0.3453038674033149
11496,mp-8192,Rb2PtF6,9,Trigonal,-2.440364056,144.8927459,5.501140754,2.6581,Rb,Pt,F,1.1031589169406495,0.4699248120300752
11497,mp-28110,Rb2PtI6,9,Cubic,-1.033037744,366.393996,5.109714806,0.521,Rb,Pt,I,0.9811888786730144,0.28409090909090906
11498,mp-29336,Rb2PuCl6,18,Hexagonal,-2.24055092,557.0944533,3.741711363,0.1311,Rb,Pu,Cl,0.9348640215687314,0.4751381215469613
11499,mp-1205863,Rb2ReF6,9,Trigonal,-2.777542114,147.9452825,5.288000881,1.7687,Rb,Re,F,1.1003447360300866,0.47368421052631576
