material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap
mp-557664,Cs2TlBiF6,10,Cubic,-2.596629717,233.1815855,5.648308394,3.0939
mp-1112501,Cs2TlBiI6,10,Cubic,-1.170902798,530.6789779,4.507762778,1.3773
mp-1112565,Cs2TlCoF6,10,Cubic,-2.503127128,193.5740569,5.516866662,2.9239
mp-1112495,Cs2TlCrF6,10,Cubic,-2.890992305,203.75817,5.184591832,4.1533
mp-1113558,Cs2TlCuBr6,10,Cubic,-1.337138791,339.6058894,4.953973984,0
mp-1113205,Cs2TlCuCl6,10,Cubic,-1.57134702,288.9158596,4.29025603,0
mp-1112637,Cs2TlCuF6,10,Cubic,-2.33242155,181.0918938,5.939426563,0
mp-504603,Cs2TlFeF6,10,Cubic,-2.724510652,206.6623874,5.14265903,2.9057
mp-1112492,Cs2TlGaBr6,10,Cubic,-1.536351602,384.727067,4.399627778,1.7459
mp-1112002,Cs2TlGaCl6,10,Cubic,-1.823481005,329.6148662,3.791637718,2.6597
mp-989558,Cs2TlGaF6,10,Cubic,-2.851459309,203.1408112,5.345253609,4.7634
mp-989553,Cs2TlGaH6,10,Cubic,-0.114606082,174.4398277,5.197184406,0.3834
mp-1112110,Cs2TlGaI6,10,Cubic,-1.123866864,469.3308956,4.604283695,0.574
mp-1112900,Cs2TlHgBr6,10,Cubic,-1.379329268,384.0496683,4.973225639,0
mp-1113292,Cs2TlHgCl6,10,Cubic,-1.593100512,331.4865475,4.425790235,0
mp-1113141,Cs2TlHgF6,10,Cubic,-2.344871769,211.788346,6.153071898,0
mp-1113282,Cs2TlHgI6,10,Cubic,-1.039823001,472.2838171,5.035621105,0
mp-996944,Cs2TlInBr6,10,Cubic,-1.577039566,410.9472562,4.301130799,1.8255
mp-1112490,Cs2TlInCl6,10,Cubic,-1.849192812,356.5570845,3.715147519,2.7015
mp-989537,Cs2TlInF6,10,Cubic,-2.787644961,224.118307,5.179055557,3.9896
mp-996945,Cs2TlInH6,10,Cubic,-0.149304006,192.5358876,5.097636465,0.4117
mp-1112107,Cs2TlInI6,10,Cubic,-1.174716373,499.9927973,4.471693616,1.4001
mp-560710,Cs2TlMoF6,10,Cubic,-2.76019474,222.419255,5.077678669,3.8865
mp-1112343,Cs2TlPdF6,10,Cubic,-2.221543551,205.2086458,5.588341328,0
mp-1112340,Cs2TlRhF6,10,Cubic,-2.422730792,207.5952413,5.495983358,1.9056
mp-1112339,Cs2TlRuF6,10,Cubic,-2.404739429,211.1356632,5.389388295,0.5579
mp-1112108,Cs2TlSbBr6,10,Cubic,-1.500406737,428.7126459,4.149785129,1.2294
mp-1112003,Cs2TlSbCl6,10,Cubic,-1.750358806,375.6684475,3.556832199,2.0043
mp-1112551,Cs2TlSbF6,10,Cubic,-2.678376275,237.9550415,4.926344984,2.4839
mp-1112105,Cs2TlSbI6,10,Cubic,-1.127291882,514.6142981,4.367041628,0.9367
mp-989560,Cs2TlSiH6,10,Cubic,-0.090500305,180.9683964,4.627632633,0
mp-557533,Cs2TlVF6,10,Cubic,-2.948574419,208.4243175,5.060118473,0
mp-1111447,Cs2TmCuCl6,10,Cubic,-2.024146001,286.3344275,4.12335471,2.4365
mp-1112639,Cs2VAgF6,10,Cubic,-2.736490122,179.6941578,4.977260565,0
mp-1112323,Cs2YAgBr6,10,Cubic,-1.900430603,370.9079044,4.217334412,3.335
mp-1112288,Cs2YAgCl6,10,Cubic,-2.207876866,320.9343708,3.494069313,3.8705
mp-1110987,Cs2YAgF6,10,Cubic,-3.207796222,208.3191014,4.595958437,3.3465
mp-1112931,Cs2YAgI6,10,Cubic,-1.456071033,453.477475,4.482073488,2.4594
mp-1112918,Cs2YAuBr6,10,Cubic,-1.780231099,369.4849392,4.634002119,1.863
mp-1112919,Cs2YAuCl6,10,Cubic,-1.928428168,321.4550226,3.948665193,2.2263
mp-1113108,Cs2YAuF6,10,Cubic,-2.312944436,144.4343562,7.653146267,2.0605
mp-1112916,Cs2YAuI6,10,Cubic,-1.361819762,449.500556,4.850874291,1.1517
mp-1111878,Cs2YCuBr6,10,Cubic,-1.841111696,341.2544759,4.368130031,2.0386
mp-1112909,Cs2YCuCl6,10,Cubic,-2.022476435,292.9718915,3.576343746,2.5338
mp-1110977,Cs2YCuF6,10,Cubic,-3.152948466,188.7301239,4.683021284,1.4267
mp-1112877,Cs2YCuI6,10,Cubic,-1.390349051,421.7070708,4.645216454,1.7212
mp-1112897,Cs2YHgBr6,10,Cubic,-1.827719125,406.97033,4.221956033,0
mp-1112898,Cs2YHgCl6,10,Cubic,-2.120264513,354.2475743,3.600123756,0
mp-1112607,Cs2YHgF6,10,Cubic,-3.131471416,225.0942663,4.937460742,0
mp-1112895,Cs2YHgI6,10,Cubic,-1.400235686,493.668363,4.429061499,0
mp-1113063,Cs2YInBr6,10,Cubic,-1.956537876,430.3046785,3.662017082,2.9636
mp-1112628,Cs2YInCl6,10,Cubic,-2.134735462,374.7833956,3.022832293,3.496
mp-1113062,Cs2YInF6,10,Cubic,-3.320911533,231.9469212,4.177534847,4.0503
mp-1112795,Cs2YInI6,10,Cubic,-1.505596728,521.0523674,3.922945006,0.0509
mp-1112106,Cs2YTlBr6,10,Cubic,-1.998179181,436.8055657,3.948003181,3.6928
mp-1112103,Cs2YTlCl6,10,Cubic,-2.310220579,380.1790764,3.371132475,4.3248
mp-1112482,Cs2YTlF6,10,Cubic,-3.327059236,222.9208576,5.01385576,4.7054
mp-1112156,Cs2YTlI6,10,Cubic,-1.545332537,529.5581893,4.140784727,3.0866
mp-558217,CsAg(NO3)2,20,Monoclinic,-1.060001363,335.2933578,3.613177288,2.6458
mp-562920,CsAl(SiO3)2,80,Tetragonal,-3.241411224,1355.197262,3.058911176,4.8796
mp-1200987,CsGa(SeO3)2,40,Monoclinic,-1.697220694,711.1097659,4.264379979,3.5463
mp-541789,CsGd(CO3)2,40,Triclinic,-2.535793589,593.4357377,4.590951745,2.7456
mp-1112328,CsK2AlBr6,10,Cubic,-1.724880192,406.4273503,2.931518717,3.2759
mp-1112327,CsK2AlCl6,10,Cubic,-2.072619832,343.6448026,2.17833544,4.3064
mp-1112319,CsK2AlF6,10,Cubic,-3.319671709,196.1370967,2.980734687,5.6179
mp-1112057,CsK2AlI6,10,Cubic,-1.248823902,512.5349875,3.238268849,2.1419
mp-1112325,CsK2AsBr6,10,Cubic,-1.452021343,436.6080157,2.911205667,2.9226
mp-1112054,CsK2AsCl6,10,Cubic,-1.712026125,376.0032852,2.202587131,3.4978
mp-1112326,CsK2AsF6,10,Cubic,-2.668328153,227.632498,2.918032346,3.5457
mp-1112322,CsK2AuF6,10,Cubic,-2.209982249,231.0498533,3.752001652,0.6962
mp-571371,CsK2BiCl6,40,Monoclinic,-1.987991738,1349.357294,3.114934426,3.9331
mp-1112321,CsK2GaCl6,10,Cubic,-1.886592127,352.0030788,2.328239632,3.6673
mp-1112316,CsK2GaF6,10,Cubic,-2.956793016,206.855212,3.16939809,5.3211
mp-1112318,CsK2InCl6,10,Cubic,-1.904217944,383.4107664,2.332823192,3.7817
mp-1112317,CsK2InF6,10,Cubic,-2.871217322,232.3476797,3.143945849,4.7905
mp-1112315,CsK2IrF6,10,Cubic,-2.424780316,218.3485971,3.934133755,2.0177
mp-1112308,CsK2MoF6,10,Cubic,-2.842407379,227.2063849,3.077118043,2.8022
mp-1111974,CsK2NbF6,10,Cubic,-2.870257153,232.3608224,2.987179228,0
mp-1112304,CsK2PdF6,10,Cubic,-2.369593586,219.0679706,3.270872114,0
mp-1112313,CsK2RuF6,10,Cubic,-2.496697623,217.8836223,3.247878039,1.66
mp-1112055,CsK2SbCl6,10,Cubic,-1.790849352,410.679056,2.205997547,3.1654
mp-1112270,CsK2SbF6,10,Cubic,-2.75166077,249.1332536,2.978389976,3.1372
